MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;x_rate;sigma_x_rate;y_rate;sigma_y_rate;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY;Type;bulB/x_pole;bulB/y_pole;Type;bulB/UT-UTC;Type;bulB/dPsi;bulB/dEpsilon;bulB/dX;bulB/dY
48622;1992;01;01;final;0.182987;0.000672;0.168775;0.000345;;;;;final;-0.1251659;0.0000207;1.8335;0.0201;final;;;;;-0.086;0.202;0.130;0.165;final;.182400;.167900;final;-.1253000;final;;;0.129;-0.653
48623;1992;01;02;final;0.180614;0.000672;0.166776;0.000345;;;;;final;-0.1269551;0.0000203;1.7556;0.0144;final;;;;;-0.027;0.202;0.128;0.165;final;.180300;.165900;final;-.1270800;final;;;0.155;-0.575
48624;1992;01;03;final;0.178183;0.000672;0.164804;0.000345;;;;;final;-0.1286996;0.0000200;1.7450;0.0107;final;;;;;0.014;0.274;0.154;0.298;final;.178200;.163900;final;-.1288200;final;;;0.135;-0.478
48625;1992;01;04;final;0.175821;0.000264;0.162834;0.000341;;;;;final;-0.1304668;0.0000070;1.7995;0.0105;final;;;;;0.032;0.210;0.205;0.298;final;.175700;.161600;final;-.1305800;final;;;-0.006;-0.229
48626;1992;01;05;final;0.173528;0.000192;0.160861;0.000246;;;;;final;-0.1323166;0.0000063;1.9081;0.0045;final;;;;;0.026;0.210;0.265;0.298;final;.173500;.159600;final;-.1324300;final;;;-0.100;-0.226
48627;1992;01;06;final;0.171271;0.000200;0.158881;0.000246;;;;;final;-0.1342957;0.0000055;2.0548;0.0044;final;;;;;0.009;0.189;0.301;0.298;final;.171100;.157800;final;-.1344200;final;;;-0.174;-0.453
48628;1992;01;07;final;0.169015;0.000169;0.156898;0.000254;;;;;final;-0.1364324;0.0000061;2.2201;0.0041;final;;;;;0.002;0.096;0.282;0.298;final;.168700;.156000;final;-.1365600;final;;;-0.229;-0.657
48629;1992;01;08;final;0.166685;0.000169;0.154962;0.000254;;;;;final;-0.1387344;0.0000061;2.3807;0.0044;final;;;;;0.013;0.078;0.222;0.107;final;.166200;.154200;final;-.1388600;final;;;-0.255;-0.711
48630;1992;01;09;final;0.164145;0.000172;0.153213;0.000254;;;;;final;-0.1411861;0.0000063;2.5180;0.0059;final;;;;;0.042;0.078;0.241;0.107;final;.163600;.152600;final;-.1413200;final;;;-0.169;-0.647
48631;1992;01;10;final;0.161424;0.000185;0.151633;0.000220;;;;;final;-0.1437590;0.0000102;2.6210;0.0053;final;;;;;0.096;0.315;0.314;0.134;final;.160900;.151000;final;-.1439000;final;;;-0.108;-0.587
48632;1992;01;11;final;0.158607;0.000149;0.150164;0.000208;;;;;final;-0.1464111;0.0000085;2.6729;0.0085;final;;;;;0.172;0.066;0.312;0.121;final;.158100;.149500;final;-.1465400;final;;;-0.087;-0.561
48633;1992;01;12;final;0.155714;0.000357;0.148768;0.000334;;;;;final;-0.1490836;0.0000135;2.6613;0.0082;final;;;;;0.248;0.073;0.225;0.123;final;.155300;.148100;final;-.1491800;final;;;-0.085;-0.485
48634;1992;01;13;final;0.152764;0.000365;0.147413;0.000339;;;;;final;-0.1517124;0.0000141;2.5859;0.0101;final;;;;;0.294;0.121;0.133;0.115;final;.152300;.146700;final;-.1518000;final;;;-0.041;-0.340
48635;1992;01;14;final;0.149786;0.000359;0.146057;0.000332;;;;;final;-0.1542371;0.0000151;2.4555;0.0101;final;;;;;0.282;0.146;0.125;0.298;final;.149300;.145400;final;-.1543000;final;;;0.027;-0.178
48636;1992;01;15;final;0.146797;0.000366;0.144691;0.000263;;;;;final;-0.1566178;0.0000145;2.3083;0.0098;final;;;;;0.201;0.147;0.193;0.133;final;.146200;.144200;final;-.1566900;final;;;0.135;-0.334
48637;1992;01;16;final;0.143788;0.000366;0.143388;0.000263;;;;;final;-0.1588645;0.0000126;2.1937;0.0103;final;;;;;0.091;0.136;0.177;0.125;final;.143100;.142900;final;-.1589500;final;;;0.210;-0.566
48638;1992;01;17;final;0.140677;0.000403;0.142163;0.000248;;;;;final;-0.1610304;0.0000147;2.1548;0.0086;final;;;;;-0.002;0.150;0.116;0.134;final;.139900;.141700;final;-.1611400;final;;;0.225;-0.558
48639;1992;01;18;final;0.137368;0.000298;0.141014;0.000326;;;;;final;-0.1632132;0.0000117;2.2332;0.0085;final;;;;;-0.075;0.167;0.095;0.123;final;.136700;.140500;final;-.1633600;final;;;0.124;-0.240
48640;1992;01;19;final;0.133836;0.000193;0.139916;0.000287;;;;;final;-0.1655376;0.0000086;2.4339;0.0069;final;;;;;-0.142;0.191;0.075;0.125;final;.133500;.139300;final;-.1657200;final;;;-0.096;-0.028
48641;1992;01;20;final;0.130243;0.000191;0.138789;0.000286;;;;;final;-0.1681073;0.0000075;2.7136;0.0057;final;;;;;-0.187;0.185;0.023;0.135;final;.130300;.138000;final;-.1683300;final;;;-0.332;-0.004
48642;1992;01;21;final;0.126796;0.000203;0.137535;0.000282;;;;;final;-0.1709648;0.0000076;2.9935;0.0056;final;;;;;-0.182;0.196;0.014;0.113;final;.127200;.136700;final;-.1712100;final;;;-0.452;-0.247
48643;1992;01;22;final;0.123656;0.000164;0.136141;0.000333;;;;;final;-0.1740592;0.0000084;3.1682;0.0057;final;;;;;-0.127;0.183;0.101;0.122;final;.124100;.135400;final;-.1742900;final;;;-0.444;-0.380
48644;1992;01;23;final;0.120861;0.000164;0.134759;0.000333;;;;;final;-0.1772490;0.0000084;3.1864;0.0060;final;;;;;-0.090;0.183;0.182;0.122;final;.121000;.134000;final;-.1774700;final;;;-0.430;-0.393
48645;1992;01;24;final;0.118262;0.000176;0.133433;0.000294;;;;;final;-0.1803857;0.0000086;3.0656;0.0070;final;;;;;-0.089;0.174;0.204;0.132;final;.118000;.132700;final;-.1805900;final;;;-0.392;-0.499
48646;1992;01;25;final;0.115683;0.000171;0.132165;0.000378;;;;;final;-0.1833489;0.0000112;2.8511;0.0086;final;;;;;-0.096;0.137;0.201;0.191;final;.115100;.131300;final;-.1835400;final;;;-0.276;-0.639
48647;1992;01;26;final;0.113054;0.000172;0.130926;0.000394;;;;;final;-0.1860775;0.0000148;2.6056;0.0093;final;;;;;-0.101;0.148;0.215;0.326;final;.112300;.129900;final;-.1862800;final;;;-0.089;-0.809
48648;1992;01;27;final;0.110331;0.000172;0.129675;0.000394;;;;;final;-0.1885657;0.0000148;2.3768;0.0102;final;;;;;-0.089;0.166;0.246;0.303;final;.109500;.128600;final;-.1887700;final;;;0.002;-0.771
48649;1992;01;28;final;0.107470;0.000190;0.128369;0.000390;;;;;final;-0.1908472;0.0000141;2.1964;0.0103;final;;;;;-0.029;0.190;0.281;0.347;final;.106800;.127300;final;-.1910600;final;;;0.048;-0.529
48650;1992;01;29;final;0.104506;0.000190;0.127039;0.000390;;;;;final;-0.1929856;0.0000143;2.0974;0.0100;final;;;;;0.094;0.185;0.213;0.301;final;.104200;.126100;final;-.1932200;final;;;0.125;-0.451
48651;1992;01;30;final;0.101632;0.000199;0.125857;0.000387;;;;;final;-0.1950680;0.0000142;2.0764;0.0119;final;;;;;0.274;0.185;0.092;0.301;final;.101600;.125000;final;-.1953000;final;;;0.244;-0.365
48652;1992;01;31;final;0.098958;0.000227;0.124866;0.000371;;;;;final;-0.1971564;0.0000189;2.1095;0.0115;final;;;;;0.452;0.194;0.034;0.316;final;.099100;.123900;final;-.1973700;final;;;0.295;-0.396
48653;1992;02;01;final;0.096541;0.000235;0.124062;0.000387;;;;;final;-0.1993021;0.0000181;2.1877;0.0104;final;;;;;0.551;0.205;0.048;0.172;final;.096700;.123000;final;-.1994900;final;;;0.267;-0.337
48654;1992;02;02;final;0.094325;0.000203;0.123425;0.000278;;;;;final;-0.2015417;0.0000089;2.2954;0.0102;final;;;;;0.558;0.200;0.123;0.158;final;.094300;.122200;final;-.2017000;final;;;0.095;-0.483
48655;1992;02;03;final;0.092206;0.000204;0.122927;0.000277;;;;;final;-0.2038971;0.0000096;2.4158;0.0069;final;;;;;0.493;0.185;0.206;0.144;final;.091700;.121400;final;-.2040200;final;;;0.024;-0.568
48656;1992;02;04;final;0.090050;0.000214;0.122534;0.000274;;;;;final;-0.2063706;0.0000106;2.5280;0.0075;final;;;;;0.380;0.193;0.224;0.168;final;.089300;.120700;final;-.2065100;final;;;0.013;-0.764
48657;1992;02;05;final;0.087721;0.000216;0.122171;0.000272;;;;;final;-0.2089529;0.0000115;2.6394;0.0080;final;;;;;0.247;0.159;0.140;0.128;final;.086900;.120100;final;-.2091300;final;;;0.049;-0.895
48658;1992;02;06;final;0.085143;0.000216;0.121668;0.000272;;;;;final;-0.2116447;0.0000119;2.7366;0.0082;final;;;;;0.136;0.151;0.013;0.119;final;.084500;.119600;final;-.2118600;final;;;0.139;-0.735
48659;1992;02;07;final;0.082448;0.000212;0.121014;0.000251;;;;;final;-0.2144096;0.0000118;2.7841;0.0075;final;;;;;0.054;0.094;-0.093;0.298;final;.082000;.119100;final;-.2146100;final;;;0.135;-0.529
48660;1992;02;08;final;0.079770;0.000145;0.120255;0.000202;;;;;final;-0.2171890;0.0000092;2.7599;0.0077;final;;;;;-0.012;0.103;-0.156;0.298;final;.079400;.118600;final;-.2173600;final;;;0.110;-0.514
48661;1992;02;09;final;0.077071;0.000177;0.119457;0.000228;;;;;final;-0.2199043;0.0000100;2.6606;0.0071;final;;;;;-0.043;0.103;-0.177;0.298;final;.076700;.118200;final;-.2200300;final;;;0.017;-0.491
48662;1992;02;10;final;0.074277;0.000177;0.118686;0.000228;;;;;final;-0.2224926;0.0000108;2.5086;0.0072;final;;;;;-0.041;0.122;-0.129;0.298;final;.073900;.117700;final;-.2225800;final;;;-0.012;-0.493
48663;1992;02;11;final;0.071319;0.000113;0.118004;0.000239;;;;;final;-0.2249119;0.0000103;2.3279;0.0067;final;;;;;-0.033;0.133;0.037;0.120;final;.071100;.117300;final;-.2249800;final;;;-0.001;-0.519
48664;1992;02;12;final;0.068149;0.000124;0.117430;0.000189;;;;;final;-0.2271526;0.0000080;2.1597;0.0065;final;;;;;-0.029;0.131;0.271;0.116;final;.068100;.116900;final;-.2272000;final;;;0.136;-0.603
48665;1992;02;13;final;0.064792;0.000124;0.116953;0.000189;;;;;final;-0.2292510;0.0000080;2.0505;0.0064;final;;;;;0.006;0.121;0.334;0.109;final;.065100;.116600;final;-.2293000;final;;;0.277;-0.552
48666;1992;02;14;final;0.061369;0.000159;0.116589;0.000140;;;;;final;-0.2312855;0.0000100;2.0371;0.0062;final;;;;;0.054;0.122;0.241;0.114;final;.062000;.116300;final;-.2313500;final;;;0.377;-0.365
48667;1992;02;15;final;0.058017;0.000218;0.116360;0.000174;;;;;final;-0.2333649;0.0000095;2.1427;0.0091;final;;;;;0.048;0.108;0.146;0.298;final;.058900;.116100;final;-.2334600;final;;;0.365;-0.019
48668;1992;02;16;final;0.054826;0.000246;0.116281;0.000155;;;;;final;-0.2356063;0.0000153;2.3546;0.0093;final;;;;;-0.043;0.071;0.126;0.298;final;.055800;.115900;final;-.2357400;final;;;0.120;0.377
48669;1992;02;17;final;0.051774;0.000246;0.116343;0.000155;;;;;final;-0.2380910;0.0000159;2.6173;0.0102;final;;;;;-0.184;0.064;0.123;0.298;final;.052600;.115700;final;-.2382600;final;;;-0.180;0.293
48670;1992;02;18;final;0.048822;0.000290;0.116523;0.000149;;;;;final;-0.2408320;0.0000134;2.8532;0.0099;final;;;;;-0.286;0.054;0.085;0.298;final;.049500;.115700;final;-.2410200;final;;;-0.424;-0.020
48671;1992;02;19;final;0.045911;0.000321;0.116773;0.000342;;;;;final;-0.2437644;0.0000119;2.9900;0.0089;final;;;;;-0.290;0.069;0.044;0.298;final;.046300;.115600;final;-.2439800;final;;;-0.519;-0.409
48672;1992;02;20;final;0.042930;0.000325;0.117039;0.000331;;;;;final;-0.2467653;0.0000117;2.9867;0.0085;final;;;;;-0.218;0.076;0.028;0.298;final;.043000;.115500;final;-.2469800;final;;;-0.579;-0.468
48673;1992;02;21;final;0.039795;0.000332;0.117260;0.000296;;;;;final;-0.2496941;0.0000122;2.8523;0.0094;final;;;;;-0.105;0.078;0.066;0.110;final;.039800;.115500;final;-.2499100;final;;;-0.537;-0.493
48674;1992;02;22;final;0.036491;0.000333;0.117366;0.000203;;;;;final;-0.2524464;0.0000146;2.6473;0.0101;final;;;;;0.022;0.103;0.183;0.151;final;.036500;.115400;final;-.2526400;final;;;-0.434;-0.410
48675;1992;02;23;final;0.033144;0.000299;0.117291;0.000194;;;;;final;-0.2549854;0.0000160;2.4325;0.0108;final;;;;;0.105;0.113;0.208;0.162;final;.033200;.115300;final;-.2551400;final;;;-0.344;-0.380
48676;1992;02;24;final;0.029819;0.000295;0.117052;0.000205;;;;;final;-0.2573213;0.0000159;2.2473;0.0125;final;;;;;0.121;0.168;0.083;0.175;final;.029900;.115300;final;-.2574300;final;;;-0.311;-0.137
48677;1992;02;25;final;0.026535;0.000262;0.116690;0.000198;;;;;final;-0.2594998;0.0000192;2.1213;0.0135;final;;;;;0.083;0.193;-0.085;0.198;final;.026600;.115200;final;-.2595300;final;;;-0.376;0.046
48678;1992;02;26;final;0.023326;0.000264;0.116279;0.000149;;;;;final;-0.2615761;0.0000219;2.0317;0.0149;final;;;;;0.014;0.176;-0.158;0.183;final;.023200;.115100;final;-.2615300;final;;;-0.340;0.141
48679;1992;02;27;final;0.020143;0.000267;0.115959;0.000189;;;;;final;-0.2635749;0.0000228;1.9770;0.0186;final;;;;;-0.019;0.176;-0.039;0.183;final;.019800;.115000;final;-.2634800;final;;;-0.216;0.233
48680;1992;02;28;final;0.016893;0.000283;0.115789;0.000204;;;;;final;-0.2655501;0.0000301;1.9822;0.0179;final;;;;;-0.016;0.192;0.141;0.169;final;.016400;.115000;final;-.2654600;final;;;-0.069;0.202
48681;1992;02;29;final;0.013503;0.000161;0.115798;0.000229;;;;;final;-0.2675607;0.0000275;2.0516;0.0165;final;;;;;0.005;0.214;0.199;0.178;final;.013000;.115100;final;-.2675100;final;;;-0.032;0.174
48682;1992;03;01;final;0.010001;0.000153;0.116005;0.000159;;;;;final;-0.2696748;0.0000136;2.1854;0.0145;final;;;;;0.033;0.186;0.152;0.165;final;.009500;.115200;final;-.2697000;final;;;-0.086;0.171
48683;1992;03;02;final;0.006416;0.000153;0.116395;0.000159;;;;;final;-0.2719443;0.0000093;2.3575;0.0080;final;;;;;0.054;0.168;0.085;0.150;final;.006000;.115400;final;-.2720500;final;;;-0.146;-0.062
48684;1992;03;03;final;0.002770;0.000135;0.116944;0.000169;;;;;final;-0.2743931;0.0000084;2.5395;0.0075;final;;;;;0.062;0.208;0.033;0.163;final;.002500;.115700;final;-.2745600;final;;;-0.165;-0.333
48685;1992;03;04;final;-0.000937;0.000172;0.117617;0.000122;;;;;final;-0.2770161;0.0000118;2.6999;0.0072;final;;;;;0.060;0.177;0.014;0.136;final;-.000900;.116200;final;-.2772200;final;;;0.053;-0.473
48686;1992;03;05;final;-0.004750;0.000172;0.118334;0.000122;;;;;final;-0.2797752;0.0000116;2.8073;0.0084;final;;;;;0.059;0.177;0.018;0.131;final;-.004400;.116700;final;-.2799900;final;;;0.064;-0.417
48687;1992;03;06;final;-0.008566;0.000172;0.119023;0.000122;;;;;final;-0.2826080;0.0000120;2.8466;0.0095;final;;;;;0.062;0.121;0.046;0.298;final;-.008000;.117300;final;-.2828200;final;;;0.107;-0.279
48688;1992;03;07;final;-0.012239;0.000181;0.119628;0.000131;;;;;final;-0.2854469;0.0000150;2.8212;0.0122;final;;;;;0.077;0.121;0.090;0.140;final;-.011500;.118000;final;-.2856300;final;;;0.165;-0.222
48689;1992;03;08;final;-0.015666;0.000206;0.120148;0.000146;;;;;final;-0.2882303;0.0000212;2.7353;0.0131;final;;;;;0.142;0.154;0.193;0.226;final;-.015000;.118800;final;-.2883600;final;;;0.170;-0.303
48690;1992;03;09;final;-0.018896;0.000209;0.120668;0.000143;;;;;final;-0.2909004;0.0000214;2.5979;0.0153;final;;;;;0.242;0.147;0.308;0.239;final;-.018400;.119700;final;-.2910000;final;;;0.170;-0.455
48691;1992;03;10;final;-0.022012;0.000261;0.121291;0.000134;;;;;final;-0.2934216;0.0000220;2.4468;0.0153;final;;;;;0.324;0.165;0.321;0.256;final;-.021900;.120700;final;-.2935400;final;;;0.168;-0.584
48692;1992;03;11;final;-0.025094;0.000254;0.122115;0.000140;;;;;final;-0.2958209;0.0000220;2.3764;0.0170;final;;;;;0.335;0.191;0.119;0.244;final;-.025300;.121800;final;-.2959800;final;;;0.226;-0.637
48693;1992;03;12;final;-0.028211;0.000254;0.123190;0.000140;;;;;final;-0.2982133;0.0000258;2.4228;0.0165;final;;;;;0.273;0.184;-0.024;0.232;final;-.028700;.123000;final;-.2984000;final;;;0.349;-0.568
48694;1992;03;13;final;-0.031355;0.000263;0.124507;0.000118;;;;;final;-0.3006978;0.0000247;2.5630;0.0170;final;;;;;0.153;0.199;-0.059;0.238;final;-.032100;.124300;final;-.3008900;final;;;0.384;-0.333
48695;1992;03;14;final;-0.034507;0.000228;0.126035;0.000114;;;;;final;-0.3033668;0.0000221;2.7858;0.0179;final;;;;;0.059;0.212;-0.066;0.158;final;-.035400;.125700;final;-.3035600;final;;;0.315;0.004
48696;1992;03;15;final;-0.037708;0.000252;0.127724;0.000135;;;;;final;-0.3062863;0.0000260;3.0595;0.0164;final;;;;;0.041;0.234;-0.024;0.100;final;-.038700;.127300;final;-.3064700;final;;;0.149;0.212
48697;1992;03;16;final;-0.040947;0.000268;0.129547;0.000200;;;;;final;-0.3094850;0.0000242;3.3309;0.0169;final;;;;;0.044;0.232;0.015;0.101;final;-.042000;.128900;final;-.3096600;final;;;-0.003;0.155
48698;1992;03;17;final;-0.044207;0.000193;0.131488;0.000220;;;;;final;-0.3129225;0.0000217;3.5254;0.0134;final;;;;;-0.010;0.217;-0.035;0.298;final;-.045300;.130600;final;-.3130800;final;;;-0.099;-0.330
48699;1992;03;18;final;-0.047482;0.000155;0.133510;0.000206;;;;;final;-0.3164923;0.0000113;3.5892;0.0122;final;;;;;-0.133;0.235;-0.172;0.298;final;-.048500;.132400;final;-.3166600;final;;;-0.120;-0.836
48700;1992;03;19;final;-0.050775;0.000150;0.135516;0.000207;;;;;final;-0.3200528;0.0000112;3.5085;0.0084;final;;;;;-0.214;0.220;-0.252;0.298;final;-.051600;.134300;final;-.3202100;final;;;-0.054;-0.980
48701;1992;03;20;final;-0.054077;0.000189;0.137424;0.000215;;;;;final;-0.3234726;0.0000125;3.3178;0.0078;final;;;;;-0.202;0.195;-0.200;0.298;final;-.054600;.136300;final;-.3236400;final;;;-0.005;-0.942
48702;1992;03;21;final;-0.057327;0.000189;0.139260;0.000226;;;;;final;-0.3266688;0.0000110;3.0685;0.0088;final;;;;;-0.122;0.161;-0.035;0.115;final;-.057600;.138300;final;-.3268300;final;;;0.088;-0.784
48703;1992;03;22;final;-0.060423;0.000211;0.141074;0.000229;;;;;final;-0.3296101;0.0000123;2.8209;0.0077;final;;;;;-0.033;0.154;0.064;0.123;final;-.060400;.140300;final;-.3297700;final;;;0.180;-0.542
48704;1992;03;23;final;-0.063296;0.000174;0.142920;0.000157;;;;;final;-0.3323293;0.0000109;2.6295;0.0086;final;;;;;0.047;0.154;0.038;0.123;final;-.063100;.142400;final;-.3324800;final;;;0.159;-0.467
48705;1992;03;24;final;-0.065894;0.000265;0.144860;0.000164;;;;;final;-0.3348943;0.0000119;2.5136;0.0096;final;;;;;0.129;0.079;-0.009;0.141;final;-.065700;.144600;final;-.3350400;final;;;0.117;-0.366
48706;1992;03;25;final;-0.068193;0.000310;0.146939;0.000196;;;;;final;-0.3373785;0.0000158;2.4638;0.0104;final;;;;;0.206;0.120;0.010;0.126;final;-.068200;.146800;final;-.3375000;final;;;0.109;-0.324
48707;1992;03;26;final;-0.070291;0.000310;0.149154;0.000196;;;;;final;-0.3398387;0.0000171;2.4643;0.0146;final;;;;;0.246;0.120;0.077;0.126;final;-.070600;.149000;final;-.3399300;final;;;0.220;-0.282
48708;1992;03;27;final;-0.072316;0.000373;0.151488;0.000240;;;;;final;-0.3423203;0.0000245;2.5044;0.0136;final;;;;;0.230;0.164;0.118;0.108;final;-.072800;.151200;final;-.3424000;final;;;0.263;-0.190
48709;1992;03;28;final;-0.074368;0.000401;0.153914;0.000305;;;;;final;-0.3448609;0.0000212;2.5847;0.0169;final;;;;;0.152;0.137;0.091;0.298;final;-.074900;.153400;final;-.3449700;final;;;0.145;-0.078
48710;1992;03;29;final;-0.076444;0.000408;0.156367;0.000302;;;;;final;-0.3475017;0.0000233;2.7012;0.0157;final;;;;;0.029;0.137;0.035;0.298;final;-.077000;.155600;final;-.3476400;final;;;-0.022;-0.038
48711;1992;03;30;final;-0.078520;0.000408;0.158772;0.000302;;;;;final;-0.3502671;0.0000232;2.8293;0.0157;final;;;;;-0.110;0.187;0.000;0.298;final;-.079000;.157800;final;-.3504400;final;;;-0.208;-0.220
48712;1992;03;31;final;-0.080571;0.000266;0.161053;0.000331;;;;;final;-0.3531561;0.0000209;2.9448;0.0148;final;;;;;-0.220;0.201;-0.019;0.298;final;-.080900;.159900;final;-.3533400;final;;;-0.315;-0.354
48713;1992;04;01;final;-0.082573;0.000266;0.163147;0.000331;;;;;final;-0.3561438;0.0000184;3.0214;0.0137;final;;;;;-0.244;0.261;-0.047;0.148;final;-.082800;.161900;final;-.3563400;final;;;-0.368;-0.509
48714;1992;04;02;final;-0.084533;0.000322;0.165067;0.000316;;;;;final;-0.3591784;0.0000177;3.0364;0.0179;final;;;;;-0.133;0.261;-0.097;0.148;final;-.084600;.163900;final;-.3593600;final;;;-0.407;-0.531
48715;1992;04;03;final;-0.086469;0.000417;0.166838;0.000264;;;;;final;-0.3621936;0.0000307;2.9824;0.0154;final;;;;;0.013;0.327;-0.101;0.187;final;-.086500;.165900;final;-.3623500;final;;;-0.315;-0.592
48716;1992;04;04;final;-0.088378;0.000265;0.168501;0.000385;;;;;final;-0.3651228;0.0000253;2.8673;0.0192;final;;;;;0.047;0.323;0.007;0.234;final;-.088200;.167700;final;-.3652700;final;;;-0.238;-0.598
48717;1992;04;05;final;-0.090228;0.000264;0.170123;0.000376;;;;;final;-0.3679150;0.0000230;2.7127;0.0172;final;;;;;-0.017;0.325;0.171;0.256;final;-.090000;.169600;final;-.3680400;final;;;-0.114;-0.679
48718;1992;04;06;final;-0.091991;0.000347;0.171776;0.000359;;;;;final;-0.3705455;0.0000233;2.5499;0.0171;final;;;;;-0.097;0.284;0.309;0.326;final;-.091800;.171500;final;-.3706600;final;;;-0.048;-0.777
48719;1992;04;07;final;-0.093683;0.000336;0.173529;0.000324;;;;;final;-0.3730252;0.0000252;2.4183;0.0179;final;;;;;-0.110;0.256;0.350;0.371;final;-.093500;.173400;final;-.3731300;final;;;-0.041;-0.822
48720;1992;04;08;final;-0.095328;0.000286;0.175434;0.000343;;;;;final;-0.3754075;0.0000272;2.3630;0.0184;final;;;;;-0.034;0.240;0.283;0.316;final;-.095300;.175300;final;-.3755200;final;;;-0.037;-0.683
48721;1992;04;09;final;-0.096953;0.000279;0.177487;0.000327;;;;;final;-0.3777861;0.0000268;2.4123;0.0203;final;;;;;0.057;0.240;0.105;0.316;final;-.097000;.177300;final;-.3779200;final;;;-0.077;-0.564
48722;1992;04;10;final;-0.098574;0.000279;0.179663;0.000327;;;;;final;-0.3802656;0.0000301;2.5621;0.0176;final;;;;;0.123;0.187;-0.034;0.330;final;-.098800;.179300;final;-.3804300;final;;;-0.147;-0.285
48723;1992;04;11;final;-0.100184;0.000260;0.181938;0.000220;;;;;final;-0.3829367;0.0000228;2.7913;0.0212;final;;;;;0.146;0.172;-0.230;0.305;final;-.100600;.181500;final;-.3831500;final;;;-0.263;-0.003
48724;1992;04;12;final;-0.101786;0.000203;0.184301;0.000152;;;;;final;-0.3858606;0.0000299;3.0578;0.0182;final;;;;;0.130;0.232;-0.469;0.394;final;-.102300;.183800;final;-.3861300;final;;;-0.403;0.259
48725;1992;04;13;final;-0.103400;0.000230;0.186737;0.000191;;;;;final;-0.3890452;0.0000284;3.3030;0.0207;final;;;;;0.090;0.222;-0.633;0.368;final;-.104100;.186100;final;-.3893700;final;;;-0.479;0.178
48726;1992;04;14;final;-0.105053;0.000239;0.189229;0.000237;;;;;final;-0.3924419;0.0000285;3.4741;0.0208;final;;;;;0.030;0.186;-0.584;0.331;final;-.105900;.188500;final;-.3927900;final;;;-0.533;-0.037
48727;1992;04;15;final;-0.106770;0.000240;0.191760;0.000240;;;;;final;-0.3959518;0.0000303;3.5205;0.0211;final;;;;;-0.050;0.186;-0.286;0.331;final;-.107700;.190800;final;-.3962800;final;;;-0.488;-0.292
48728;1992;04;16;final;-0.108576;0.000240;0.194296;0.000240;;;;;final;-0.3994317;0.0000311;3.4135;0.0219;final;;;;;-0.110;0.186;-0.004;0.331;final;-.109500;.193200;final;-.3997000;final;;;-0.421;-0.457
48729;1992;04;17;final;-0.110461;0.000241;0.196801;0.000233;;;;;final;-0.4027396;0.0000316;3.1891;0.0185;final;;;;;-0.160;0.197;0.155;0.349;final;-.111300;.195700;final;-.4029400;final;;;-0.374;-0.241
48730;1992;04;18;final;-0.112379;0.000213;0.199241;0.000253;;;;;final;-0.4057934;0.0000199;2.9153;0.0178;final;;;;;-0.209;0.211;0.204;0.139;final;-.113100;.198100;final;-.4059300;final;;;-0.333;0.039
48731;1992;04;19;final;-0.114286;0.000196;0.201610;0.000292;;;;;final;-0.4085728;0.0000166;2.6495;0.0128;final;;;;;-0.252;0.230;0.184;0.156;final;-.114800;.200500;final;-.4086600;final;;;-0.344;0.179
48732;1992;04;20;final;-0.116137;0.000120;0.203901;0.000278;;;;;final;-0.4111091;0.0000161;2.4340;0.0106;final;;;;;-0.288;0.271;0.137;0.190;final;-.116500;.202800;final;-.4111700;final;;;-0.379;0.240
48733;1992;04;21;final;-0.117890;0.000163;0.206114;0.000264;;;;;final;-0.4134637;0.0000133;2.2873;0.0106;final;;;;;-0.322;0.271;0.103;0.190;final;-.118100;.205200;final;-.4135300;final;;;-0.381;0.038
48734;1992;04;22;final;-0.119515;0.000163;0.208297;0.000264;;;;;final;-0.4157139;0.0000137;2.2313;0.0098;final;;;;;-0.333;0.262;0.048;0.154;final;-.119700;.207600;final;-.4158200;final;;;-0.312;-0.191
48735;1992;04;23;final;-0.121009;0.000164;0.210591;0.000278;;;;;final;-0.4179547;0.0000143;2.2605;0.0107;final;;;;;-0.309;0.262;-0.051;0.154;final;-.121300;.209900;final;-.4181000;final;;;-0.199;-0.304
48736;1992;04;24;final;-0.122457;0.000174;0.212976;0.000288;;;;;final;-0.4202520;0.0000165;2.3409;0.0105;final;;;;;-0.257;0.224;-0.152;0.112;final;-.122800;.212300;final;-.4204300;final;;;-0.088;-0.368
48737;1992;04;25;final;-0.123952;0.000206;0.215397;0.000249;;;;;final;-0.4226478;0.0000154;2.4552;0.0118;final;;;;;-0.183;0.201;-0.226;0.298;final;-.124300;.214700;final;-.4228500;final;;;-0.117;-0.285
48738;1992;04;26;final;-0.125478;0.000273;0.217828;0.000244;;;;;final;-0.4251665;0.0000170;2.5820;0.0109;final;;;;;-0.115;0.222;-0.253;0.298;final;-.125900;.217100;final;-.4253900;final;;;-0.213;-0.294
48739;1992;04;27;final;-0.126994;0.000275;0.220260;0.000249;;;;;final;-0.4278073;0.0000153;2.6954;0.0106;final;;;;;-0.082;0.271;-0.241;0.102;final;-.127400;.219400;final;-.4280300;final;;;-0.278;-0.435
